Code,EN_Description,FR_Description
A01,General budget support,Soutien budgétaire général
A02,Sector budget support,Soutien budgétaire sectoriel
B01,"Core support to NGOs, other private bodies, PPPs and research institutes","Contributions aux budgets réguliers des ONG, des autres organismes de la société civile, des partenariats public-privé (PPP) et des instituts de recherche"
B02,Core contributions to multilateral institutions,Contributions aux budgets réguliers des institutions multilatérales
B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)","Contributions à des programmes ou fonds à objectif spécifique gérés par des organisations internationales (multilatérales, ONGI)"
B04,Basket funds/pooled funding,Fonds communs/financements groupés
C01,Project-type interventions,Interventions de type projet
D01,Donor country personnel,Personnel du pays donneur
D02,Other technical assistance,Autres formes d’assistance technique
E01,Scholarships/training in donor country,Bourses/formations dans le pays donneur
E02,Imputed student costs,Coûts imputés des étudiants
F01,Debt relief,Allégement de la dette
G01,Administrative costs not included elsewhere,Frais administratifs non inclus ailleurs
H01,Development awareness,Sensibilisation au développement
H02,Refugees in donor countries,Aide aux réfugiés dans le pays
