code,name,description,category,url
A01,Évaluation de l’impact avant et après le projet,,A,
A02,Objectifs/finalités de l’activité,,A,
A03,Bénéficiaires finaux visés,,A,
A04,Conditions,,A,
A05,Budget,,A,
A06,Résumé du contrat,,A,
A07,Examen de la performance du projet et évaluation,,A,
A08,"Résultats, réalisations et produits",,A,
A09,Protocole d’accord (si celui-ci a été approuvé par toutes les parties),,A,
A10,Appel d’offres,,A,
A11,Contrat,,A,
A12,Page Web sur les activités,,A,
B01,Rapport annuel,,B,
B02,Document de stratégie institutionnelle,,B,
B03,Document de stratégie nationale,,B,
B04,Politique d’affectation de l’aide,,B,
B05,Politique et procédure d’approvisionnement,,B,
B06,Rapport d’audit institutionnel,,B,
B07,Rapport d’audit de pays,,B,
B08,Politique relative aux exclusions,,B,
B09,Rapport d’évaluation institutionnelle,,B,
B10,Rapport d’évaluation nationale,,B,
B11,Stratégie sectorielle,,B,
B12,Stratégie thématique,,B,
B13,Protocole d’accord national,,B,
B14,Politique relative aux évaluations,,B,
B15,Conditions générales,,B,
B16,Page Web sur l’organisation,,B,
B17,Page Web sur les pays/régions,,B,
B18,Page Web sur les secteurs,,B,
