code,text_en,text_fr,active
CA-3,Canada (GAC),Canada (AMC),1
AU-5,Australia (AusAID),Australie (AusAID),1
47045,Global Fund,Global Fund,1
47122,GAVI,GAVI,1
XM-DAC-41114,UNDP,PNUD,1
44000,World Bank,Banque mondiale,1
GB-GOV-1,UK (DFID),UK (DFID),1
XM-DAC-7,Netherlands (MFA),Pays-Bas,1
46002,African Development Bank (AfDB),Banque africaine de développement,1
XM-DAC-2-10,Belgium,Belgique,1
XI-IATI-EC_ECHO,European Commission (ECHO),Commission européene (ECHO),
XI-IATI-EC_FPI,European Commission (FPI),Commission européene (FPI),1
XM-DAC-918-3,European Investment Bank (EIB),Bank européene d'investissement (BEI),1
SE-0,Sweden (Sida),Suède (Sida),1
XM-DAC-41140,World Food Programme (WFP),Programme alimentaire mondial (PAM),1
46004,Asian Development Bank (AsDB),Asian Development Bank (AsDB),1
XI-IATI-EBRD,European Bank for Reconstruction and Development (EBRD),European Bank for Reconstruction and Development (EBRD),1
XI-IATI-EC_DEVCO,European Commission (DG DEVCO),Commission européene (DG DEVCO),1
