code,name
1.1,Counter-Terrorism
1.1.1,"Deny Terrorist Sponsorship, Support and Sanctuary"
1.1.2,De-Legitimize Terrorist Ideology
1.1.3,Governments' Capabilities
1.1.4,Program Design and Learning (Counter-Terrorism)
1.1.4,Program Support (Counter-Terrorism)
1.1.5,Administration and Oversight (Counter-Terrorism)
1.2,Combating Weapons of Mass Destruction (WMD)
1.2.1,Counter WMD Proliferation and Combat WMD Terrorism
1.3,Stabilization Operations and Security Sector Reform
1.3.1,OTI/Operations Support
1.3.2,"Disarmament, Demobilization & Reintegration (DDR)"
1.3.4,Explosive Remnants of War (ERW)
1.3.5,Immediate Protection of Civilians in Conflict
1.3.6,"Defense, Military, and Border Restructuring, Reform and Operations"
1.3.7,"Law Enforcement Restructuring, Reform and Operations"
1.3.8,Program Design and Learning (Stabilization)
1.3.8,Program Support (Stabilization)
1.3.9,Administration and Oversight (Stabilization)
1.4,Counter-Narcotics
1.4.2,Alternative Development and Alternative Livelihoods
1.4.3,Interdiction
1.4.4,Drug Demand Reduction
1.4.5,Program Design and Learning (Narcotics)
1.4.5,Program Support (Narcotics)
1.4.6,Administration and Oversight (Narcotics)
1.5,Transnational Crime
1.5.1,Financial Crimes and Money Laundering
1.5.2,"Intellectual Property Theft, Corporate Espionage and Cyber Security"
1.5.3,Trafficking-in-Persons and Migrant Smuggling
1.5.5,Program Design and Learning (Crime)
1.5.5,Program Support (Crime)
1.5.6,Administration and Oversight (Crime)
1.6,Conflict Mitigation and Reconciliation
1.6.1,Conflict Mitigation
1.6.2,Peace and Reconciliation Processes
1.6.3,Preventive Diplomacy
1.6.4,Program Design and Learning (Conflict)
1.6.4,Program Support (Conflict)
1.6.5,Administration and Oversight (Conflict)
2.1,Rule of Law and Human Rights
2.1.1,"Constitutions, Laws, and Legal Systems"
2.1.2,Judicial Independence
2.1.3,Justice System
2.1.4,Human Rights
2.1.5,Program Design and Learning (Rule of Law)
2.1.5,Program Support (Rule of Law)
2.1.6,Administration and Oversight (Rule of Law)
2.2,Good Governance
2.2.1,Legislative Function and Processes
2.2.2,Public Sector Executive Function
2.2.3,Local Government and Decentralization
2.2.4,Anti-Corruption Reforms
2.2.5,Governance of the Security Sector
2.2.6,Program Design and Learning (Governance)
2.2.6,Program Support (Governance)
2.2.6.1,Host Country Strategic Information Capacity (Governance)
2.2.7,Administration and Oversight (Governance)
2.3,Political Competition and Consensus-Building
2.3.1,Consensus-Building Processes
2.3.2,Elections and Political Processes
2.3.2.2,Election Management
2.3.2.4,"Enfranchisement, Access and Participation"
2.3.3,Political Parties
2.3.3.1,Political Party Organizational Development
2.3.4,Program Design and Learning (Political Competition)
2.3.4,Program Support (Political Competition)
2.3.5,Administration and Oversight (Political Competition)
2.4,Civil Society
2.4.1,Civic Participation
2.4.2,Media Freedom and Freedom of Information
2.4.3,Program Design and Learning (Civil Society)
2.4.3,Program Support (Civil Society)
2.4.4,Administration and Oversight (Civil Society)
3.1,Health
3.1.1,HIV/AIDS
3.1.1.1,HIV/AIDS - Preventing Mother-to-child Transmission (PMTCT)
3.1.1.2,"HIV/AIDS - Sexual Prevention, Abstinence / Be Faithful"
3.1.1.3,HIV/AIDS - Biomedical Prevention - Blood Safety
3.1.1.4,HIV/AIDS - Biomedical Prevention - Injection Safety
3.1.1.5,HIV/AIDS - Sexual Prevention - Other Sexual Prevention
3.1.1.6,HIV/AIDS - Adult Care and Support
3.1.1.7,HIV/AIDS - TB / HIV
3.1.1.8,HIV/AIDS - Orphans and Vulnerable Children
3.1.1.9,HIV/AIDS - Counseling and Testing
3.1.1.10,HIV/AIDS - Treatment / ARV Drugs
3.1.1.11,HIV/AIDS - Treatment / Adult Services
3.1.1.12,HIV/AIDS - Laboratory Infrastructure
3.1.1.13,HIV/AIDS - Health System Strengthening
3.1.1.14,HIV/AIDS - Strategic Information
3.1.1.17,HIV/AIDS - Biomedical Prevention - Medical Male Circumcision
3.1.1.18,HIV/AIDS - Biomedical Prevention - Prevention Among Injecting and Non-Injecting Drug Users
3.1.1.19,HIV/AIDS - Pediatric Care and Support
3.1.1.20,HIV/AIDS - Treatment / Pediatric Treatment
3.1.2,Tuberculosis
3.1.2.1,"Tuberculosis - Directly Observed Therapy, Short-Courses (DOTS) Expansion and Enhancement"
3.1.2.2,Tuberculosis - Drugs for the Treatment of TB
3.1.2.3,Tuberculosis - Improve Management of TB / HIV
3.1.2.4,Tuberculosis - Multi-Drug Resistant TB (MDR TB)
3.1.2.5,Tuberculosis - Care and Support
3.1.2.6,Tuberculosis - Development of New Tools and Improved Approaches
3.1.2.7,Tuberculosis - Health Governance and Finance (TB)
3.1.2.8,Tuberculosis - Host Country Strategic Information Capacity (TB)
3.1.3,Malaria
3.1.3.1,Malaria - Treatment with Artemisinin-Based Combination Therapies
3.1.3.2,Malaria - Insecticide-Treated Nets (ITNs) to Prevent Malaria
3.1.3.3,Malaria - Indoor Residual Spraying (IRS) to Prevent Malaria
3.1.3.4,Malaria - Intermittent Preventive Treatment of Pregnant Women  
3.1.3.5,Malaria - Epidemic Preparedness and Response 
3.1.3.6,Malaria - Malaria Research   
3.1.3.7,Malaria - Health Governance and Finance (Malaria)
3.1.3.8,Malaria - Anti-Microbial Resistance (Malaria)
3.1.3.9,Malaria - Host Country Strategic Information Capacity (Malaria)  
3.1.4,Avian Influenza
3.1.4,Pandemic Influenza and Other Emerging Threats (PIOET)
3.1.4.1,Pandemic Influenza and Other Emerging Threats (PIOET) - Planning and Preparedness for Outbreak Response
3.1.4.2,Pandemic Influenza and Other Emerging Threats (PIOET) - Animal and Human Disease Surveillance
3.1.4.3,Pandemic Influenza and Other Emerging Threats (PIOET) - Commodity Stockpile
3.1.4.4,Pandemic Influenza and Other Emerging Threats (PIOET) - Behavior Change Communications
3.1.4.5,Pandemic Influenza and Other Emerging Threats (PIOET) - Response to Disease Outbreak
3.1.4.6,Pandemic Influenza and Other Emerging Threats (PIOET) - Health Governance and Finance (PIOET)
3.1.4.7,Pandemic Influenza and Other Emerging Threats (PIOET) - Host Country Strategic Information Capacity (PIOET)
3.1.5,Other Public Health Threats
3.1.5.1,Other Public Health Threats - Other Infectious Diseases
