code,name,agency_code,agency_name
11110,Education policy and administrative management,1040000,Ministry of Finance
11120,Education facilities and training,1040000,Ministry of Finance
11130,Teacher training,1040000,Ministry of Finance
11182,Educational research,1040000,Ministry of Finance
11220,Primary education,1040000,Ministry of Finance
11230,Basic life skills for youth and adults,1040000,Ministry of Finance
11231,Basic life skills for youth,1040000,Ministry of Finance
11232,Primary education equivalent for adults,1040000,Ministry of Finance
11240,Early childhood education,1040000,Ministry of Finance
11320,Secondary education,1040000,Ministry of Finance
11321,Lower secondary education,1040000,Ministry of Finance
11322,Upper secondary education,1040000,Ministry of Finance
11330,Vocational training,1040000,Ministry of Finance
11420,Higher education,1040000,Ministry of Finance
11430,Advanced technical and managerial training,1040000,Ministry of Finance
12110,Health policy and administrative management,1040000,Ministry of Finance
12181,Medical education/training,1040000,Ministry of Finance
12182,Medical research,1040000,Ministry of Finance
12191,Medical services,1040000,Ministry of Finance
12220,Basic health care,1040000,Ministry of Finance
12230,Basic health infrastructure,1040000,Ministry of Finance
12240,Basic nutrition,1040000,Ministry of Finance
12250,Infectious disease control,1040000,Ministry of Finance
12261,Health education,1040000,Ministry of Finance
12262,Malaria control,1040000,Ministry of Finance
12263,Tuberculosis control,1040000,Ministry of Finance
12281,Health personnel development,1040000,Ministry of Finance
13010,Population policy and administrative management,1040000,Ministry of Finance
13020,Reproductive health care,1040000,Ministry of Finance
13030,Family planning,1040000,Ministry of Finance
13040,STD control including HIV/AIDS,1040000,Ministry of Finance
13081,Personnel development for population and reproductive health,1040000,Ministry of Finance
14010,Water sector policy and administrative management,1040000,Ministry of Finance
14015,Water resources conservation (including data collection),1040000,Ministry of Finance
14020,Water supply and sanitation - large systems,1040000,Ministry of Finance
14021,Water supply - large systems,1040000,Ministry of Finance
14022,Sanitation - large systems,1040000,Ministry of Finance
14030,Basic drinking water supply and basic sanitation,1040000,Ministry of Finance
14031,Basic drinking water supply,1040000,Ministry of Finance
14032,Basic sanitation,1040000,Ministry of Finance
14040,River basins development,1040000,Ministry of Finance
14050,Waste management / disposal,1040000,Ministry of Finance
14081,Education and training in water supply and sanitation,1040000,Ministry of Finance
15110,Public sector policy and administrative management,1040000,Ministry of Finance
15121,Foreign affairs,1040000,Ministry of Finance
15122,Diplomatic missions,1040000,Ministry of Finance
15123,Administration of developing countries' foreign aid,1040000,Ministry of Finance
15124,General personnel services,1040000,Ministry of Finance
15125,Central procurement,1040000,Ministry of Finance
15126,Other general public services,1040000,Ministry of Finance
15127,National monitoring and evaluation,1040000,Ministry of Finance
15142,Macroeconomic policy,1040000,Ministry of Finance
15143,Meteorological services,1040000,Ministry of Finance
15144,National standards development,1040000,Ministry of Finance
15154,Executive office,1040000,Ministry of Finance
15111,Public Finance Management (PFM),1040000,Ministry of Finance
15117,Budget planning,1040000,Ministry of Finance
15118,National audit,1040000,Ministry of Finance
15119,Debt and aid management,1040000,Ministry of Finance
15112,Decentralisation and support to subnational government,1040000,Ministry of Finance
15128,Local government finance,1040000,Ministry of Finance
15129,Other central transfers to institutions,1040000,Ministry of Finance
15185,Local government administration,1040000,Ministry of Finance
15113,Anti-corruption organisations and institutions,1040000,Ministry of Finance
15114,Domestic Revenue Mobilisation,1040000,Ministry of Finance
15116,Tax collection,1040000,Ministry of Finance
15155,Tax policy and administration support,1040000,Ministry of Finance
15156,Other non-tax revenue mobilisation,1040000,Ministry of Finance
15130,Legal and judicial development,1040000,Ministry of Finance
15131,"Justice, law and order policy, planning and administration",1040000,Ministry of Finance
15132,Police,1040000,Ministry of Finance
15133,Fire and rescue services,1040000,Ministry of Finance
15134,Judicial affairs,1040000,Ministry of Finance
15135,Ombudsman,1040000,Ministry of Finance
15136,Immigration,1040000,Ministry of Finance
15137,Prisons,1040000,Ministry of Finance
15150,Democratic participation and civil society,1040000,Ministry of Finance
15151,Elections,1040000,Ministry of Finance
15152,Legislatures and political parties,1040000,Ministry of Finance
15153,Media and free flow of information,1040000,Ministry of Finance
15160,Human rights,1040000,Ministry of Finance
15170,Women's equality organisations and institutions,1040000,Ministry of Finance
15180,Ending violence against women and girls,1040000,Ministry of Finance
15210,Security system management and reform,1040000,Ministry of Finance
15220,"Civilian peace-building, conflict prevention and resolution",1040000,Ministry of Finance
15230,Participation in international peacekeeping operations,1040000,Ministry of Finance
15240,Reintegration and SALW control,1040000,Ministry of Finance
15250,Removal of land mines and explosive remnants of war,1040000,Ministry of Finance
15261,Child soldiers (Prevention and demobilisation),1040000,Ministry of Finance
16010,Social/ welfare services,1040000,Ministry of Finance
16011,"Social protection and welfare services policy, planning and administration",1040000,Ministry of Finance
16012,Social security (excl pensions),1040000,Ministry of Finance
16013,General pensions,1040000,Ministry of Finance
16014,Civil service pensions,1040000,Ministry of Finance
16015,Social services (incl youth development and women+ children),1040000,Ministry of Finance
16020,Employment policy and administrative management,1040000,Ministry of Finance
16030,Housing policy and administrative management,1040000,Ministry of Finance
16040,Low-cost housing,1040000,Ministry of Finance
16050,Multisector aid for basic social services,1040000,Ministry of Finance
16061,Culture and recreation,1040000,Ministry of Finance
16065,Recreation and sport,1040000,Ministry of Finance
16066,Culture,1040000,Ministry of Finance
16062,Statistical capacity building,1040000,Ministry of Finance
16063,Narcotics control,1040000,Ministry of Finance
16064,Social mitigation of HIV/AIDS,1040000,Ministry of Finance
21010,Transport policy and administrative management,1040000,Ministry of Finance
21011,"Transport policy, planning and administration",1040000,Ministry of Finance
21012,Public transport services,1040000,Ministry of Finance
21013,Transport regulation,1040000,Ministry of Finance
21020,Road transport,1040000,Ministry of Finance
21021,Feeder road construction,1040000,Ministry of Finance
21022,Feeder road maintenance,1040000,Ministry of Finance
21023,National road construction,1040000,Ministry of Finance
21024,National road maintenance,1040000,Ministry of Finance
21030,Rail transport,1040000,Ministry of Finance
21040,Water transport,1040000,Ministry of Finance
21050,Air transport,1040000,Ministry of Finance
21061,Storage,1040000,Ministry of Finance
21081,Education and training in transport and storage,1040000,Ministry of Finance
22010,Communications policy and administrative management,1040000,Ministry of Finance
22011,"Communications policy, planning and administration",1040000,Ministry of Finance
22012,Postal services,1040000,Ministry of Finance
22013,Information services,1040000,Ministry of Finance
22020,Telecommunications,1040000,Ministry of Finance
22030,Radio/television/print media,1040000,Ministry of Finance
