CC code,Category of Government,Sector,Function
1.1.1,General Public Service,Executive,executive
1.2.1,General Public Service,Legislative,legislative
1.3.1,General Public Service,Accountability,macroeconomic policy
1.3.2,General Public Service,Accountability,budgeting
1.3.3,General Public Service,Accountability,planning
1.3.4,General Public Service,Accountability,Treasury/Accounts
1.3.5,General Public Service,Accountability,debt and aid management
1.3.6,General Public Service,Accountability,tax policy
1.3.7,General Public Service,Accountability,tax collection
1.3.8,General Public Service,Accountability,local government finance
1.3.9,General Public Service,Accountability,other central transfers to institutions
1.3.10,General Public Service,Accountability,national audit
1.3.11,General Public Service,Accountability,national monitoring and evaluation
1.3.12,General Public Service,Accountability,monetary institutions
1.3.13,General Public Service,Accountability,financial sector policy and regulation
1.4.1,General Public Service,External Affairs,foreign affairs
1.4.2,General Public Service,External Affairs,diplomatic missions
1.4.3,General Public Service,External Affairs,official development assistance
1.5.1,General Public Service,General Personnel Services,general personnel services
1.6.1,General Public Service,Statistics,statistics
1.7.1,General Public Service,Other General Services,support to civil society
1.7.2,General Public Service,Other General Services,central procurement
1.7.3,General Public Service,Other General Services,Local Government Administration
1.7.4,General Public Service,Other General Services,other general services
1.8.1,General Public Service,Elections,elections
2.1.1,"Justice, Law, Order and Security","Justice, Law and Order","policy, planning and administration"
2.1.2,"Justice, Law, Order and Security","Justice, Law and Order",police
2.1.3,"Justice, Law, Order and Security","Justice, Law and Order",fire
2.1.4,"Justice, Law, Order and Security","Justice, Law and Order",judicial affairs
2.1.5,"Justice, Law, Order and Security","Justice, Law and Order",Ombudsman
2.1.6,"Justice, Law, Order and Security","Justice, Law and Order",human rights affairs
2.1.7,"Justice, Law, Order and Security","Justice, Law and Order",immigration
2.1.8,"Justice, Law, Order and Security","Justice, Law and Order",anti corruption
2.1.9,"Justice, Law, Order and Security","Justice, Law and Order",prisons
2.1.10,"Justice, Law, Order and Security","Justice, Law and Order",peace building
2.1.11,"Justice, Law, Order and Security","Justice, Law and Order",demobilisation
2.2.1,"Justice, Law, Order and Security",Defence,"policy, planning and administration"
2.2.2,"Justice, Law, Order and Security",Defence,military
2.2.3,"Justice, Law, Order and Security",Defence,civil defence
2.2.4,"Justice, Law, Order and Security",Defence,foreign military aid
