DAC_sector_code,DAC_sector_name,DAC_5_code,DAC_5_name,CRS_code,DESCRIPTION,notes,parent_code,cc_id
112,EDUCATION,111,"Education, level unspecified",11110,Education policy and administrative management,"Education sector policy, planning and programmes; aid to education ministries, administration and management systems; institution capacity building and advice; school management and governance; curriculum and materials development; unspecified education activities.",,5.3.1
112,EDUCATION,111,"Education, level unspecified",11120,Education facilities and training,"Educational buildings, equipment, materials; subsidiary services to education (boarding facilities, staff housing); language training; colloquia, seminars, lectures, etc.",,5.3.13
112,EDUCATION,111,"Education, level unspecified",11130,Teacher training,Teacher education (where the level of education is unspecified); in-service and pre-service training; materials development.,,5.3.12
112,EDUCATION,111,"Education, level unspecified",11182,Educational research,"Research and studies on education effectiveness, relevance and quality; systematic evaluation and monitoring.",,5.3.2
112,EDUCATION,112,Basic education,11220,Primary education,Formal and non-formal primary education for children; all elementary and first cycle systematic instruction; provision of learning materials.,,5.3.3
112,EDUCATION,112,Basic education,11230,Basic life skills for youth and adults ,Formal and non-formal education for basic life skills for young people and adults (adults education); literacy and numeracy training.,,0
112,EDUCATION,112,Basic education,11231,Basic life skills for youth and adults,,11230,5.3.6
112,EDUCATION,112,Basic education,11232,Primary education equivalent for adults,,11230,5.3.11
112,EDUCATION,112,Basic education,11240,Early childhood education,Formal and non-formal pre-school education.,,5.3.3
112,EDUCATION,113,Secondary education,11320,Secondary education,Second cycle systematic instruction at both junior and senior levels.,,0
112,EDUCATION,113,Secondary education,11321,Lower secondary Education,,11320,5.3.5
112,EDUCATION,113,Secondary education,11322,Upper secondary,,11320,5.3.6
112,EDUCATION,113,Secondary education,11330,Vocational training,Elementary vocational training and secondary level technical education; on-the job training; apprenticeships; including informal vocational training.,,5.3.9
112,EDUCATION,114,Post-secondary education,11420,Higher education,"Degree and diploma programmes at universities, colleges and polytechnics; scholarships.",,5.3.8
112,EDUCATION,114,Post-secondary education,11430,Advanced technical and managerial training,Professional-level vocational training programmes and in-service training.,,5.3.10
120,HEALTH,121,"Health, general",12110,Health policy and administrative management,"Health sector policy, planning and programmes; aid to health ministries, public health administration; institution capacity building and advice; medical insurance programmes; unspecified health activities.",,5.1.1
120,HEALTH,121,"Health, general",12181,Medical education/training,Medical education and training for tertiary level services.,,5.1.1
120,HEALTH,121,"Health, general",12182,Medical research,General medical research (excluding basic health research).,,5.1.1
120,HEALTH,121,"Health, general",12191,Medical services,"Laboratories, specialised clinics and hospitals (including equipment and supplies); ambulances; dental services; mental health care; medical rehabilitation; control of non-infectious diseases; drug and substance abuse control [excluding narcotics traffic control (16063)].",,5.1.1
120,HEALTH,122,Basic health,12220,Basic health care,"Basic and primary health care programmes; paramedical and nursing care programmes; supply of drugs, medicines and vaccines related to basic health care.",,5.1.1
120,HEALTH,122,Basic health,12230,Basic health infrastructure,"District-level hospitals, clinics and dispensaries and related medical equipment; excluding specialised hospitals and clinics (12191).",,5.1.1
120,HEALTH,122,Basic health,12240,Basic nutrition,"Direct feeding programmes (maternal feeding, breastfeeding and weaning foods, child feeding, school feeding); determination of micro-nutrient deficiencies; provision of vitamin A, iodine, iron etc.; monitoring of nutritional status; nutrition and food hygiene education; household food security.",,5.1.1
120,HEALTH,122,Basic health,12250,Infectious disease control,"Immunisation; prevention and control of infectious and parasite diseases, except malaria (12262), tuberculosis (12263), HIV/AIDS and other STDs (13040). It includes diarrheal diseases, vector-borne diseases (e.g. river blindness and guinea worm), viral diseases, mycosis, helminthiasis, zoonosis, diseases by other bacteria and viruses, pediculosis, etc.",,5.1.1
120,HEALTH,122,Basic health,12261,Health education,"Information, education and training of the population for improving health knowledge and practices; public health and awareness campaigns; promotion of improved personal hygiene practices, including use of sanitation facilities and handwashing with soap.",,5.1.1
120,HEALTH,122,Basic health,12262,Malaria control,Prevention and control of malaria.,,5.1.1
120,HEALTH,122,Basic health,12263,Tuberculosis control,"Immunisation, prevention and control of tuberculosis.",,5.1.1
120,HEALTH,122,Basic health,12281,Health personnel development,Training of health staff for basic health care services.,,5.1.1
130,POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH,,,13010,Population policy and administrative management,"Population/development policies; census work, vital registration; migration data; demographic research/analysis; reproductive health research; unspecified population activities.",,5.1.1
130,POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH,,,13020,Reproductive health care,Promotion of reproductive health; prenatal and postnatal care including delivery; prevention and treatment of infertility; prevention and management of consequences of abortion; safe motherhood activities.,,5.1.1
130,POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH,,,13030,Family planning,"Family planning services including counselling; information, education and communication (IEC) activities; delivery of contraceptives; capacity building and training.",,5.1.1
130,POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH,,,13040,STD control including HIV/AIDS,"All activities related to sexually transmitted diseases and HIV/AIDS control e.g. information, education and communication; testing; prevention; treatment, care.",,5.1.1
130,POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH,,,13081,Personnel development for population and reproductive health,Education and training of health staff for population and reproductive health care services.,,5.1.1
140,WATER AND SANITATION,,,14010,Water sector policy and administrative management,"Water sector policy and governance, including legislation, regulation, planning and management as well as transboundary management of water; institutional capacity development; activities supporting the Integrated Water Resource Management approach (IWRM:  see box below).",,4.1.1
140,WATER AND SANITATION,,,14015,Water resources conservation (including data collection),"Collection and usage of quantitative and qualitative data on water resources; creation and sharing of water knowledge; conservation and rehabilitation of inland surface waters (rivers, lakes etc.), ground water and coastal waters; prevention of water contamination.",,4.2.4
140,WATER AND SANITATION,,,14020,Water supply and sanitation - large systems,"Programmes where components according to 14021 and 14022 cannot be identified.  When components are known, they should individually be reported under their respective purpose codes:  water supply [14021], sanitation [14022], and hygiene [12261].",,4.1.4
140,WATER AND SANITATION,,,14021,Water supply - large systems ,Potable water treatment plants; intake works; storage; water supply pumping stations; large scale transmission / conveyance and distribution systems.,,4.1.6
140,WATER AND SANITATION,,,14022,Sanitation - large systems,Large scale sewerage including trunk sewers and sewage pumping stations; domestic and industrial waste water treatment plants.,,4.1.8
140,WATER AND SANITATION,,,14030,Basic drinking water supply and basic sanitation,"Programmes where components according to 14031 and 14032 cannot be identified.  When components are known, they should individually be reported under their respective purpose codes:  water supply [14031], sanitation [14032], and hygiene [12261].",,4.1.3
140,WATER AND SANITATION,,,14031,Basic drinking water supply,"Rural water supply schemes using handpumps, spring catchments, gravity-fed systems, rainwater collection and fog harvesting, storage tanks, small distribution systems typically with shared connections/points of use. Urban schemes using handpumps and local neighbourhood networks including those with shared connections.",,4.1.5
140,WATER AND SANITATION,,,14032,Basic sanitation,"Latrines, on-site disposal and alternative sanitation systems, including the promotion of household and community investments in the construction of these facilities. (Use code 12261 for activities promoting improved personal hygiene practices.)",,4.1.7
140,WATER AND SANITATION,,,14040,River basins' development,Infrastructure focused integrated river basin projects and related institutional activities; river flow control; dams and reservoirs [excluding dams primarily for irrigation (31140) and hydropower (23065) and activities related to river transport (21040)].,,4.2.4
140,WATER AND SANITATION,,,14050,Waste management / disposal,"Municipal and industrial solid waste management, including hazardous and toxic waste; collection, disposal and treatment; landfill areas; composting and reuse.",,4.1.9
140,WATER AND SANITATION,,,14081,Education and training in water supply and sanitation,Education and training for sector professionals and service providers.,,4.1.2
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15110,Public sector policy and administrative management,"Institution-building assistance to strengthen core public sector management systems and capacities. This includes macro-economic and other policy management, co-ordination, planning and reform; human resource management; organisational development; civil service reform; e‑government; development planning, monitoring and evaluation; support to ministries involved in aid co-ordination; other ministries and government departments when sector cannot be specified. (Use specific sector codes for development of systems and capacities in sector ministries.)",,0
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15111,Public finance management,"Fiscal policy and planning; support to ministries of finance; strengthening financial and managerial accountability; public expenditure management; improving financial management systems; tax policy and administration; budget drafting; inter-governmental fiscal relations, public audit, public debt. (Use code 33120 for customs.)",,0
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15112,Decentralisation and support to subnational government,"Decentralisation processes (including political, administrative and fiscal dimensions); intergovernmental relations and federalism; strengthening departments of regional and local government, regional and local authorities and their national associations. (Use specific sector codes for decentralisation of sector management and services.) ",,0
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15113,Anti-corruption organisations and institutions ,"Specialised organisations, institutions and frameworks for the prevention of and combat against corruption, bribery, money-laundering and other aspects of organised crime, with or without law enforcement powers, e.g. anti-corruption commissions and monitoring bodies, special investigation services, institutions and initiatives of integrity and ethics oversight, specialised NGOs, other civil society and citizens’ organisations directly concerned with corruption.",,2.1.8
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15114,Macroeconomic policy,,15110,1.3.1
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15116,National audit,,15111,1.3.10
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15117,Debt and aid management,,15111,1.3.5
