DAC_sector_code,DAC_sector_name,DAC_5_code,DAC_5_name,CRS_code,DESCRIPTION,notes,parent_code,cc_id
110,EDUCATION,111,"Éducation, niveau non spécifié",11110,Politique de l’éducation et gestion administrative,"Politique de l’éducation, planification et programmes ; aide aux ministères de l’éducation, à l’administration et au développement de systèmes de gestion, renforcement des capacités institutionnelles et conseils ; gestion et direction des écoles, développement des programmes d’études et des matériels pédagogiques ; activités d’éducation non spécifiées.",,5.3.1
110,EDUCATION,111,"Éducation, niveau non spécifié",11120,Équipements scolaires et formation,"Bâtiments scolaires, équipement, fournitures ; services pour l’éducation (équipement pour les pensionnaires, logement pour le personnel) ; cours de langues ; colloques, séminaires, conférences, etc.",,5.3.13
110,EDUCATION,111,"Éducation, niveau non spécifié",11130,Formation des enseignants,Éducation des enseignants (quand le niveau d’éducation n’est pas spécifié) ; formation et formation continue ; développement des matériels pédagogiques.  ,,5.3.12
110,EDUCATION,111,"Éducation, niveau non spécifié",11182,Recherche en éducation,"Recherche et études sur l’efficacité, la pertinence et la qualité de l’éducation ; évaluation et suivi systématiques. ",,5.3.2
110,EDUCATION,112,Éducation de base,11220,Enseignement primaire,Enseignement primaire formel et non formel pour les enfants ; enseignement élémentaire général ; fournitures scolaires.,,5.3.3
110,EDUCATION,112,Éducation de base,11230,Éducation pour une meilleure qualité de vie pour les jeunes et les adultes,Éducation formelle et non formelle pour une meilleure qualité de vie pour les jeunes et les adultes (éducation des adultes) ; alphabétisation et apprentissage du calcul.,,0
110,EDUCATION,112,Éducation de base,11231,Basic life skills for adults,,11230,5.3.6
110,EDUCATION,112,Éducation de base,11232,Education de base des adultes,,11230,5.3.11
110,EDUCATION,112,Éducation de base,11240,Éducation de la petite enfance ,Éducation préscolaire formelle et non formelle.,,5.3.3
110,EDUCATION,113,Éducation secondaire,11320,Enseignement secondaire,Éducation secondaire généralisée pour les premiers et derniers cycles.,,0
110,EDUCATION,113,Éducation secondaire,11321,Premier cycle de l'enseignement secondaire,,11320,5.3.5
110,EDUCATION,113,Éducation secondaire,11322,Deuxième cycle de l'enseignement secondaire,,11320,5.3.6
110,EDUCATION,113,Éducation secondaire,11330,Formation professionnelle,Formation professionnelle élémentaire et enseignement technique au niveau secondaire ; formation sur le tas ; apprentissage.,,5.3.9
110,EDUCATION,114,Éducation post-secondaire,11420,Enseignement supérieur,"Diplômes universitaires, de l’enseignement supérieur, de technologie ; bourses d’études.",,5.3.8
110,EDUCATION,114,Éducation post-secondaire,11430,Formation technique supérieure de gestion,Formation professionnelle supérieure et formation sur le tas.,,5.3.10
120,SANTE,121,"Santé, général",12110,Politique de la santé et gestion administrative,"Politique de la santé, planification et programmes ; aide aux ministères de la santé ; administration de la santé publique ; renforcement des capacités institutionnelles et conseils ; programmes d’assurance-maladie ; activités de santé non spécifiés.",,5.1.1
120,SANTE,121,"Santé, général",12181,Éducation et formation médicales,Enseignement médical et formation pour les services au niveau tertiaire.,,5.1.1
120,SANTE,121,"Santé, général",12182,Recherche médicale,Recherche médicale (à l’exclusion de la recherche sur la santé de base).,,5.1.1
120,SANTE,121,"Santé, général",12191,Services médicaux,"Laboratoires, centres de santé et hôpitaux spécialisés (y compris l’équipement et les fournitures) ; ambulances ; services dentaires ; santé mentale ; rééducation médicale ; lutte contre les maladies à l’exclusion des maladies infectieuses ; lutte contre la toxicomanie [à l’exclusion du trafic de drogues (16063)].",,5.1.1
120,SANTE,122,Santé de base,12220,Soins et services de santé de base,Programmes de soins sanitaires primaires et de base ; programmes de soins paramédicaux et infirmiers ; approvisionnement en médicaments et en vaccins relatifs aux soins et services de santé de base.,,5.1.1
120,SANTE,122,Santé de base,12230,Infrastructure pour la santé de base,"Hôpitaux régionaux, centres de santé, dispensaires et équipements médicaux ; à l’exclusion des hôpitaux et centres de santé spécialisés (12191).",,5.1.1
120,SANTE,122,Santé de base,12240,Nutrition de base,"Programmes pour l’alimentation (alimentation maternelle, allaitement et alimentation du sevrage, alimentation de l’enfant, alimentation à l’école) ; identification des déficiences nutritives ; fourniture de vitamine A, d’iode, de fer, etc. ; surveillance de l’état nutritionnel ; enseignement de la nutrition et de l’hygiène alimentaire ; alimentation domestique.",,5.1.1
120,SANTE,122,Santé de base,12250,Lutte contre les maladies infectieuses,"Vaccination ;  prévention et lutte contre les maladies infectieuses parasitaires à l’exception du paludisme (12262), de la tuberculose (12263), du VIH/sida et autres MST (13040). Ceci inclus les diarrhées chroniques, les maladies transmises par un vecteur (par exemple onchocercose, bilharziose), les maladies virales, les mycoses, l’helminthiasis, les zoonoses et les maladies provoquées par d’autres bactéries et virus, pédiculose, etc. ",,5.1.1
