CC,CC_FUNCTION,BUDGET_CODE,BUDGET_NAME,LOWER_BUDGET_CODE,LOWER_BUDGET_NAME
1.1.1,Exécutif,11,Organes exécutifs,110,Aff générales Présidence de la république
1.2.1,Législatif,10,Organes législatifs,,
1.3.1,Politique macroéconomique,31,Finances et fiscalité,310,Affaires générales des finances
1.3.10,Contrôle interne national,12,Organes juridictionnels,123,Affaires juridictions financières
1.3.11,Suivi et evaluation au niveau national,30,Affaires communes administration générale et financière,303,Contrôle interne a postériori
1.3.12,Institutions monétaires,31,Finances et fiscalité,310,Affaires générales des finances
1.3.13,Politique et réglementation du secteur financier  ,31,Finances et fiscalité,310,Affaires générales des finances
1.3.3,Planification,32,Elaboration et exécution budgétaire,320,Affaires générales du budget
1.3.5,Gestion de l'aide et de la dette publique,31,Finances et fiscalité,310,Affaires générales des finances
1.3.6,Politique fiscale,31,Finances et fiscalité,312,Administration générale des impôts
1.3.7,Recouvrement de l'impôt,31,Finances et fiscalité,312,Administration générale des impôts
1.3.8,Financement des collectivités locales,36,Administration des Collectivités locales,360,Affaires générales des collectivités décentralisées
1.3.9,Autres transferts entre institutions,36,Administration des Collectivités locales,360,Affaires générales des collectivités décentralisées
1.4.1,Affaires étrangères,14,Organes consultatifs,140,Adm générale des affaires de politique extérieure
1.4.2,Missions diplomatiques,14,Organes consultatifs,142,Représentations diplomatiques
1.4.3,Aide publique au développement,14,Organes consultatifs,145,Coopération internationale
1.5.1,Services généraux de personnel,33,Administration ressources humaines et organisation sociale,330,Aff générales de gestion des ressources humaines
1.6.1,Statistiques,34,"Planification, Programmation, Prévisions et Statistiques",342,Affaires prévisions et statistiques
1.7.1,Soutien à la société civile,53,Affaires jeunesse et vie associative,530,Adm générale de la jeunesse et de la vie associative
1.7.2,Services centralisés d'approvisionnement et d'achat,32,Elaboration et exécution budgétaire,321,Aff relatives gestion des marchés publics
1.7.3,Administration publique locale ,36,Administration des Collectivités locales,362,Affaires de la décentralisation
1.7.4,Autres services généraux,54,Affaires de la communication,540,Administration générale de la communication
1.8.1,Élections,35,Administration territoriale,351,Affaires des élections
2.1.1,"Politiques, planification et administration",,,,
2.1.10,Consolidation de la paix ,,,,
2.1.11,Démobilisation,,,,
2.1.2,Services de police,21,Sécurité et police,210,Administration générale sécurité et police
2.1.3,Services de protection contre les incendies,,,,
2.1.4,Justice,,,,
2.1.5,Ombudsman,,,,
2.1.6,Affaires droits de la personne,,,,
2.1.7,Immigration,,,,
2.1.8,Lutte ani-corruption ,,,,
