CC,Fonction,BUDGET_CODE,BUDGET_NAME,LOWER_BUDGET_CODE,LOWER_BUDGET_NAME
1.1.1,Exécutif,1,Administration Central Publique,1110,Organes exécutifs et législatifs
1.2.1,Législatif,1,Administration Central Publique,1110,Organes exécutifs et législatifs
1.3.1,Politique macroéconomique,1,Administration Central Publique,1120,Affaires financières et budgétaires
1.3.10,Contrôle interne national,1,Administration Central Publique,1120,Affaires financières et budgétaires
1.3.11,Suivi et evaluation au niveau national,1,Administration Central Publique,1120,Affaires financières et budgétaires
1.3.12,Institutions monétaires,1,Administration Central Publique,1120,Affaires financières et budgétaires
1.3.13,Politique et réglementation du secteur financier  ,4,Affaires économiques,4110,Economie générale et affaires commerciales 
1.3.3,Planification,1,Administration Central Publique,1120,Affaires financières et budgétaires
1.3.5,Gestion de l'aide et de la dette publique,1,Administration Central Publique,1700,Opération concernant la dette publique
1.3.6,Politique fiscale,1,Administration Central Publique,1120,Affaires financières et budgétaires
1.3.7,Recouvrement de l'impôt,1,Administration Central Publique,1120,Affaires financières et budgétaires
1.3.8,Financement des collectivités locales,1,Administration Central Publique,1120,Affaires financières et budgétaires
1.3.9,Autres transferts entre institutions,1,Administration Central Publique,1120,Affaires financières et budgétaires
1.4.1,Affaires étrangères,1,Administration Central Publique,1130,Affaires étrangères
1.4.2,Missions diplomatiques,1,Administration Central Publique,1130,Affaires étrangères
1.4.3,Aide publique au développement,1,Administration Central Publique,1130,Affaires étrangères
1.5.1,Services généraux de personnel,1,Administration Central Publique,1310,Services généraux de personnel
1.6.1,Statistiques,1,Administration Central Publique,1320,Services généraux de planifications et statistiques
1.7.1,Soutien à la société civile,10,"Protection sociale, affaires sociales",,
1.7.2,Services centralisés d'approvisionnement et d'achat,1,Administration Central Publique,1800,Autres dépenses des services généraux
1.7.3,Administration publique locale ,1,Administration Central Publique,1120,Affaires financières et budgétaires
1.7.4,Autres services généraux,1,Administration Central Publique,1800,Autres dépenses des services généraux
1.8.1,Élections,1,Administration Central Publique,1600,Services généraux en charge des élections
2.1.1,"Politiques, planification et administration",3,Ordre et sécurité publics,3310,Administration du système judiciaire
2.1.10,Consolidation de la paix ,2,Défense,2500,Autres dépenses concernant la défense
2.1.11,Démobilisation,2,Défense,2600,Réinsertion des démobilisés
2.1.2,Services de police,3,Ordre et sécurité publics,3100,Services de police
2.1.3,Services de protection contre les incendies,3,Ordre et sécurité publics,3200,Services de protection contre l'incendie
2.1.4,Justice,3,Ordre et sécurité publics,3300,Justice et tribunaux
2.1.5,Ombudsman,3,Ordre et sécurité publics,3300,Justice et tribunaux
2.1.6,Affaires droits de la personne,3,Ordre et sécurité publics,3300,Justice et tribunaux
2.1.7,Immigration,1,Administration Central Publique,1130,Affaires étrangères
2.1.8,Lutte ani-corruption ,1,Administration Central Publique,1120,Affaires financières et budgétaires
2.1.9,Administration pénitentiaire,3,Ordre et sécurité publics,3400,Prisons
2.2.1,"Politiques, planification et administration",2,Défense,,
2.2.2,Défense militaire (non liée au développement),2,Défense,2100,Défense militaire
2.2.3,Défense civile,2,Défense,2500,Autres dépenses concernant la défense
2.2.4,Aide militaire (non liée au développement),2,Défense,2100,Défense militaire
3.1.1,"Politiques, planification et administration",4,Affaires économiques,4100,"Economie générale, affaires commerciales et du travail"
3.1.2,Économie générale,4,Affaires économiques,4110,Economie générale et affaires commerciales
3.1.3,Promotion de l'investissement,4,Affaires économiques,4110,Economie générale et affaires commerciales 
3.1.4,Privatisation ,4,Affaires économiques,4110,Economie générale et affaires commerciales 
3.1.5,Commerce ,4,Affaires économiques,4110,Economie générale et affaires commerciales 
3.1.6,Emploi/Main d'oeuvre,10,"Protection sociale, affaires sociales",10500,Lutte contre le chômage
3.1.7,Elaboration des normes nationales,4,Affaires économiques,4100,"Economie générale, affaires commerciales et du travail"
3.10.1,"Politiques, planification et administration",4,Affaires économiques,4600,Communications
3.10.2,Infrastructre des TIC,4,Affaires économiques,4600,Communications
3.10.3,Télécommunications et services postaux,4,Affaires économiques,4600,Communications
3.10.4,Services d'information,4,Affaires économiques,4600,Communications
3.11.1,"Politiques, planification et administration",4,Affaires économiques,4730,Tourisme
3.11.2,Autres services,4,Affaires économiques,4730,Tourisme
3.12.1,Microfinance et services financiers ,4,Affaires économiques,4110,Economie générale et affaires commerciales 
3.2.1,"Politiques, planification et administration",4,Affaires économiques,4430,Bâtiments et travaux publics
3.2.2,Contrôle de l'industrie de la construction,4,Affaires économiques,4430,Bâtiments et travaux publics
3.2.3,Services mécaniques,4,Affaires économiques,4430,Bâtiments et travaux publics
3.3.1,"Politiques, planification et administration",4,Affaires économiques,4200,"Agriculture, forêt, chasse, pêche et développement rural"
3.3.2,Irrigation,4,Affaires économiques,4200,"Agriculture, forêt, chasse, pêche et développement rural"
3.3.3,Intrants,4,Affaires économiques,4200,"Agriculture, forêt, chasse, pêche et développement rural"
3.3.4,Culture vivrière,4,Affaires économiques,4210,"Agriculture, élevage"
3.3.5,Culture industrielle,4,Affaires économiques,4210,"Agriculture, élevage"
3.3.6,Élevage ,4,Affaires économiques,4210,"Agriculture, élevage"
3.3.7,Formation agricole et services agronomiques,4,Affaires économiques,4200,"Agriculture, forêt, chasse, pêche et développement rural"
3.3.8,Recherche,4,Affaires économiques,4200,"Agriculture, forêt, chasse, pêche et développement rural"
3.3.9,Autres services,4,Affaires économiques,4200,"Agriculture, forêt, chasse, pêche et développement rural"
3.4.1,"Politiques, planification et administration",4,Affaires économiques,4220,Forêt
