CC,CC_FUNCTION,BUDGET_CODE,BUDGET_NAME,LOWER_BUDGET_CODE,LOWER_BUDGET_NAME
1.1.1,Exécutif,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,111,Fonctionnement des organes exécutifs et législatifs
1.2.1,Législatif,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,111,Fonctionnement des organes exécutifs et législatifs
1.3.1,Politique macroéconomique,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,112,Affaires financières et fiscales
1.3.10,Contrôle interne national,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,112,Affaires financières et fiscales
1.3.11,Suivi et evaluation au niveau national,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,112,Affaires financières et fiscales
1.3.12,Institutions monétaires,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,112,Affaires financières et fiscales
1.3.13,Politique et réglementation du secteur financier  ,04,AFFAIRES ECONOMIQUES,411,Tutelle de l'économie générale et de l'emploi
1.3.3,Planification,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,112,Affaires financières et fiscales
1.3.5,Gestion de l'aide et de la dette publique,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,170,Opérations concernant la dette publique
1.3.6,Politique fiscale,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,112,Affaires financières et fiscales
1.3.7,Recouvrement de l'impôt,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,112,Affaires financières et fiscales
1.3.8,Financement des collectivités locales,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,180,Transferts de caractère général entre administrations publiques
1.3.9,Autres transferts entre institutions,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,180,Transferts de caractère général entre administrations publiques
1.4.1,Affaires étrangères,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,113,Affaires étrangères
1.4.2,Missions diplomatiques,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,113,Affaires étrangères
1.4.3,Aide publique au développement,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,12,Aide économique extérieure
1.5.1,Services généraux de personnel,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,131,Services généraux de personnel
1.6.1,Statistiques,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,132,Services généraux de planification et de statistique
1.7.1,Soutien à la société civile,,,860,"Loisir, culture et culte"
1.7.2,Services centralisés d'approvisionnement et d'achat,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,132,Services généraux de planification et de statistique
1.7.3,Administration publique locale ,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,180,Transferts de caractère général entre administrations publiques
1.7.4,Autres services généraux,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,133,Autres services généraux
1.8.1,Élections,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,160,Services généraux des administrations publiques n.c.a
2.1.1,"Politiques, planification et administration",03,ORDRE ET SECURITE PUBLIQUE,360,Ordre et sécurité publics n.c.a
2.1.10,Consolidation de la paix ,02,DEFENSE,250,Défense n.c.a
2.1.11,Démobilisation,02,DEFENSE,250,Défense n.c.a
2.1.2,Services de police,03,ORDRE ET SECURITE PUBLIQUE,310,Services de police
2.1.3,Services de protection contre les incendies,03,ORDRE ET SECURITE PUBLIQUE,320,Services de protection civile
2.1.4,Justice,03,ORDRE ET SECURITE PUBLIQUE,330,Tribunaux
2.1.5,Ombudsman,,,,
2.1.6,Affaires droits de la personne,03,ORDRE ET SECURITE PUBLIQUE,360,Ordre et sécurité publics n.c.a
2.1.7,Immigration,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,113,Affaires étrangères
2.1.8,Lutte ani-corruption ,01,SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,112,Affaires financières et fiscales
2.1.9,Administration pénitentiaire,03,ORDRE ET SECURITE PUBLIQUE,340,Administration pénitentiaire
2.2.1,"Politiques, planification et administration",02,DEFENSE,250,Défense n.c.a
2.2.2,Défense militaire (non liée au développement),02,DEFENSE,210,Défense militaire
2.2.3,Défense civile,02,DEFENSE,220,Défense civile
2.2.4,Aide militaire (non liée au développement),02,DEFENSE,210,Défense militaire
3.1.1,"Politiques, planification et administration",04,AFFAIRES ECONOMIQUES,411,Tutelle de l'économie générale et de l'emploi
3.1.2,Économie générale,04,AFFAIRES ECONOMIQUES,411,Tutelle de l'économie générale et de l'emploi
3.1.3,Promotion de l'investissement,04,AFFAIRES ECONOMIQUES,411,Tutelle de l'économie générale et des échanges
3.1.4,Privatisation ,04,AFFAIRES ECONOMIQUES,411,Tutelle de l'économie générale et des échanges
3.1.5,Commerce ,04,AFFAIRES ECONOMIQUES,411,Tutelle de l'économie générale et des échanges
3.1.6,Emploi/Main d'oeuvre,04,AFFAIRES ECONOMIQUES,412,Affaires générales concernant l'emploi
3.1.7,Elaboration des normes nationales,04,AFFAIRES ECONOMIQUES,411,Tutelle de l'économie générale et de l'emploi
3.10.1,"Politiques, planification et administration",04,AFFAIRES ECONOMIQUES,460,Communications
3.10.2,Infrastructre des TIC,04,AFFAIRES ECONOMIQUES,460,Communications
3.10.3,Télécommunications et services postaux,04,AFFAIRES ECONOMIQUES,460,Communications
3.10.4,Services d'information,04,AFFAIRES ECONOMIQUES,460,Communications
3.11.1,"Politiques, planification et administration",04,AFFAIRES ECONOMIQUES,473,Tourisme
3.11.2,Autres services,04,AFFAIRES ECONOMIQUES,473,Tourisme
3.12.1,Microfinance et services financiers ,04,AFFAIRES ECONOMIQUES,411,Tutelle de l'économie générale et de l'emploi
3.2.1,"Politiques, planification et administration",04,AFFAIRES ECONOMIQUES,443,Construction
3.2.2,Contrôle de l'industrie de la construction,04,AFFAIRES ECONOMIQUES,443,Construction
3.2.3,Services mécaniques,04,AFFAIRES ECONOMIQUES,443,Construction
3.3.1,"Politiques, planification et administration",04,AFFAIRES ECONOMIQUES,421,Agriculture
3.3.2,Irrigation,04,AFFAIRES ECONOMIQUES,421,Agriculture
3.3.3,Intrants,04,AFFAIRES ECONOMIQUES,421,Agriculture
3.3.4,Culture vivrière,04,AFFAIRES ECONOMIQUES,421,Agriculture
3.3.5,Culture industrielle,04,AFFAIRES ECONOMIQUES,421,Agriculture
3.3.6,Élevage ,04,AFFAIRES ECONOMIQUES,421,Agriculture
3.3.7,Formation agricole et services agronomiques,04,AFFAIRES ECONOMIQUES,421,Agriculture
3.3.8,Recherche,04,AFFAIRES ECONOMIQUES,421,Agriculture
3.3.8,Recherche,04,AFFAIRES ECONOMIQUES,482,"R-D concernant l'agrigulture, la sylviculture, la pêche et la chasse"
3.3.9,Autres services,04,AFFAIRES ECONOMIQUES,421,Agriculture
3.4.1,"Politiques, planification et administration",04,AFFAIRES ECONOMIQUES,422,Sylviculture
3.4.2,Développement et services,04,AFFAIRES ECONOMIQUES,422,Sylviculture
3.4.3,Éducation/formation,04,AFFAIRES ECONOMIQUES,422,Sylviculture
3.4.4,Recherche,04,AFFAIRES ECONOMIQUES,482,"R-D concernant l'agrigulture, la sylviculture, la pêche et la chasse"
3.5.1,"Politiques, planification et administration",04,AFFAIRES ECONOMIQUES,423,Pêche et chasse
3.5.2,Développement et services,04,AFFAIRES ECONOMIQUES,423,Pêche et chasse
3.5.3,Éducation/formation,04,AFFAIRES ECONOMIQUES,423,Pêche et chasse
3.5.4,Recherche,04,AFFAIRES ECONOMIQUES,482,"R-D concernant l'agrigulture, la sylviculture, la pêche et la chasse"
3.6.1,"Politiques, planification et administration",04,AFFAIRES ECONOMIQUES,43,Combustibles et énergie
3.6.2,Éducation/formation,04,AFFAIRES ECONOMIQUES,43,Combustibles et énergie
3.6.3,Réglementation de l'énergie,04,AFFAIRES ECONOMIQUES,43,Combustibles et énergie
3.6.4,Transmission d'électricité,04,AFFAIRES ECONOMIQUES,435,Electricité
3.6.5,Nucléaire,04,AFFAIRES ECONOMIQUES,433,Combustible nucléaire
3.6.6,Production d'énergie,04,AFFAIRES ECONOMIQUES,43,Combustibles et énergie
3.6.7,Gaz,04,AFFAIRES ECONOMIQUES,432,Pétrole et gaz naturel
3.7.1,"Politiques, planification et administration",04,AFFAIRES ECONOMIQUES,441,Extraction de ressources minérales autres que les combustibles minéraux
3.7.2,Prospection et exploration,04,AFFAIRES ECONOMIQUES,441,Extraction de ressources minérales autres que les combustibles minéraux
3.7.3,Charbon et autres combustibles minéraux solides,04,AFFAIRES ECONOMIQUES,441,Extraction de ressources minérales autres que les combustibles minéraux
3.7.4,Pétrole et gaz naturel,04,AFFAIRES ECONOMIQUES,432,Pétrole et gaz naturel
3.7.6,Minéraux non combustibles ,04,AFFAIRES ECONOMIQUES,441,Extraction de ressources minérales autres que les combustibles minéraux
3.8.1,"Politiques, planification et administration",04,AFFAIRES ECONOMIQUES,45,Transport
3.8.10,Pipelines,04,AFFAIRES ECONOMIQUES,455,Pipeline et systèmes de transport divers
3.8.11,Stockage et distribution,04,AFFAIRES ECONOMIQUES,471,"Distribution, entrepôts et magasins"
3.8.12,Transports en commun,04,AFFAIRES ECONOMIQUES,45,Transport
3.8.13,Services météorologiques,04,AFFAIRES ECONOMIQUES,490,Affaires économiques n.c.a
3.8.14,Éducation/formation,04,AFFAIRES ECONOMIQUES,490,Affaires économiques n.c.a
3.8.2,Réglementation des transports,04,AFFAIRES ECONOMIQUES,45,Transport
3.8.3,Construction des voies de desserte,04,AFFAIRES ECONOMIQUES,451,Transports routiers
3.8.4,Entretien des voies de desserte,04,AFFAIRES ECONOMIQUES,451,Transports routiers
3.8.5,Construction des routes nationales,04,AFFAIRES ECONOMIQUES,451,Transports routiers
3.8.6,Entretien des  routes nationales,04,AFFAIRES ECONOMIQUES,451,Transports routiers
3.8.7,Transports par voie ferrée,04,AFFAIRES ECONOMIQUES,453,Transport par voie ferrée
3.8.8,Transports par voie d'eau,04,AFFAIRES ECONOMIQUES,452,Transport par voie d'eau
3.8.9,Transports aériens,04,AFFAIRES ECONOMIQUES,454,Transport aérien
3.9.1,"Politiques, planification et administration",04,AFFAIRES ECONOMIQUES,44,"Industries extractives et manufacturières, construction"
3.9.2,Développement et services,04,AFFAIRES ECONOMIQUES,442,Industries manufacturières
3.9.3,Recherche industrielle ,04,AFFAIRES ECONOMIQUES,442,Industries manufacturières
3.9.4,(investissement en industrie),04,AFFAIRES ECONOMIQUES,442,Industries manufacturières
4.1.1,"Politiques, planification et administration",06,LOGEMENT ET EQUIPEMENTS COLLECTIFS,630,Alimentation en eau
4.1.2,Éducation/formation,06,LOGEMENT ET EQUIPEMENTS COLLECTIFS,630,Alimentation en eau
4.1.3,Alimentation en eau et installations sanitaires en milieu rural,06,LOGEMENT ET EQUIPEMENTS COLLECTIFS,630,Alimentation en eau
4.1.4,Alimentation en eau et installations sanitaires en milieu urbain,06,LOGEMENT ET EQUIPEMENTS COLLECTIFS,630,Alimentation en eau
