"CC","BUDGET_CODE","Admin_name","BUDGET_NAME","LOWER_BUDGET_CODE","LOWER_BUDGET_NAME"
"1.1.1","0102","Aparatul Președintelui Republicii Moldova","Republic of Moldova's Presidency Office (apparatus)",,
"1.2.1","0101","Secretariatul Parlamentului","Parliament",,
"1.3.1","0203","Ministerul Finanțelor","Ministry of Finance",,
"1.3.2","0203","Ministerul Finanțelor","Ministry of Finance",,
"1.3.3","0201","Cancelaria de Stat","State Office (Chancellery)",,
"1.3.4","0203","Ministerul Finanțelor","Ministry of Finance",,
"1.3.5","0203","Ministerul Finanțelor","Ministry of Finance",,
"1.3.6","0203","Ministerul Finanțelor","Ministry of Finance",,
"1.3.7","0203","Ministerul Finanțelor","Ministry of Finance",,
"1.3.8","0203","Ministerul Finanțelor","Ministry of Finance",,
"1.3.9","0203","Ministerul Finanțelor","Ministry of Finance",,
"1.3.10","0104","Curtea de Conturi","Court of Accounts",,
"1.3.11","0104","Curtea de Conturi","Court of Accounts",,
"1.3.12",,,,,
"1.3.13","0203","Ministerul Finanțelor","Ministry of Finance",,
"1.4.1","0206","Ministerul Afacerilor Externe si Integrării Europene","Ministry of External Affairs and European Integration",,
"1.4.2","0206","Ministerul Afacerilor Externe si Integrării Europene","Ministry of External Affairs and European Integration",,
"1.4.3","0206","Ministerul Afacerilor Externe si Integrării Europene","Ministry of External Affairs and European Integration",,
"1.5.1","0279","Centrul Serviciului Civil","Civil Service Center",,
"1.6.1","0241","Biroul Național de Statistică","National Bureau of Statistics",,
"1.7.1",,,,,
"1.7.2","0203","Ministerul Finanțelor","Ministry of Finance",,
"1.7.3","0208","Ministerul Dezvoltării Regionale și Construcțiilor","Ministry of Constructions and Regional Development",,
"1.7.4","0201","Cancelaria de Stat","State Office (Chancellery)",,
"1.8.1","0402","Comisia Electorală Centrală","Central Election Commission",,
"2.1.1","0204","Ministerul Justiției","Ministry of Justice",,
"2.1.2","0204","Ministerul Justiției","Ministry of Justice",,
"2.1.3","0205","Ministerul Afacerilor Interne","Ministry of Internal Affairs",,
"2.1.4","0204","Ministerul Justiției","Ministry of Justice",,
"2.1.5","0401","Centrul pentru Drepturile Omului","Center for Human Rights",,
"2.1.6","0401","Centrul pentru Drepturile Omului","Center for Human Rights",,
"2.1.7","0205","Ministerul Afacerilor Interne","Ministry of Internal Affairs",,
"2.1.8","0247","Centrul Național Anticorupție","Center for Economic Crime and Corruption Control",,
"2.1.9","0204","Ministerul Justiției","Ministry of Justice",,
"2.1.10","0205","Ministerul Afacerilor Interne","Ministry of Internal Affairs",,
"2.1.11","0205","Ministerul Afacerilor Interne","Ministry of Internal Affairs",,
"2.2.1","0207","Ministerul Apărării","Ministry of Defence",,
"2.2.2","0207","Ministerul Apărării","Ministry of Defence",,
