"CC","BUDGET_CODE","LOWER_BUDGET_CODE","BUDGET_NAME","LOWER_BUDGET_NAME"
"1.1.1","01-1","01-1-1","Legislative and executive authorities, fiscal services, foreign affairs","Legislative and Executive authorities "
"1.2.1","01-1","01-1-1","Legislative and executive authorities, fiscal services, foreign affairs","Legislative and Executive authorities "
"1.3.1","01-1","01-1-2","Legislative and executive authorities, fiscal services, foreign affairs","Financial, budget/taxation and control services"
"1.3.2","01-1","01-1-2","Legislative and executive authorities, fiscal services, foreign affairs","Financial, budget/taxation and control services"
"1.3.3","01-3","01-3-2","General services","Planning and statistics services"
"1.3.4","01-1","01-1-2","Legislative and executive authorities, fiscal services, foreign affairs","Financial, budget/taxation and control services"
"1.3.5","01-2",,"Economic and humanitarian support and aid, other countries",
"1.3.6","01-1","01-1-2","Legislative and executive authorities, fiscal services, foreign affairs","Financial, budget/taxation and control services"
"1.3.7","01-1","01-1-2","Legislative and executive authorities, fiscal services, foreign affairs","Financial, budget/taxation and control services"
"1.3.8","01-8","01-8-1","Relations between levels of government","Transfers to the administrative-territorial units (ATU) budgets from the regions financial support fund"
"1.3.9","01-8","01-8-2","Relations between levels of government","Special purpose transfers to the administrative-territorial units (ATU) budgets"
"1.3.10","01-1","01-1-2","Legislative and executive authorities, fiscal services, foreign affairs","Financial, budget/taxation and control services"
"1.3.11","01-1","01-1-2","Legislative and executive authorities, fiscal services, foreign affairs","Financial, budget/taxation and control services"
"1.3.12","01-1","01-1-2","Legislative and executive authorities, fiscal services, foreign affairs","Financial, budget/taxation and control services"
"1.3.13","01-1","01-1-2","Legislative and executive authorities, fiscal services, foreign affairs","Financial, budget/taxation and control services"
"1.4.1","01-1","01-1-3","Legislative and executive authorities, fiscal services, foreign affairs","Foreign relations"
"1.4.2","01-1","01-1-3","Legislative and executive authorities, fiscal services, foreign affairs","Foreign relations"
"1.4.3","01-2",,"Economic and humanitarian support and aid, other countries",
"1.5.1","01-3","01-3-1","General services","General staff services "
"1.6.1","01-3","01-3-2","General services","Planning and statistics services"
"1.7.1",,,,
"1.7.2","01-5","01-5-0","Applied scientific research related to general state services","Applied scientific research related to general state services"
"1.7.3","01-8","01-8-1","State debt servicing","Transfers to the administrative-territorial units (ATU) budgets from the regions financial support fund"
"1.7.4","01-3","01-3-3","General services","General purpose authorities and services not attributable to any other group"
"1.8.1","01-6","01-6-1","Services and activities unattributable to any other core groups","Electoral services"
"2.1.1","03-6","03-6-9","Other services in respect of public order and national security unassigned to other groups","Other services in respect of public order and national security"
"2.1.2","03-1","03-1-1","Internal affairs authorities","Police"
