"CC","Category of Government","Sector","Function","BUDGET_CODE","LOWER_BUDGET_CODE","BUDGET_NAME","LOWER_BUDGET_NAME"
"1.1.1","General Public Service","Executive","executive",101,,"President",
"1.2.1",,"Legislative","legislative",202,202012,"Constituent Assembly / Legislature - Parliament","Constituent Assembly / Legislature-Parliament Secretariat"
"1.3.1",,"Accountability","macroeconomic policy",305,,"Ministry of Finance",
"1.3.2",,,"budgeting",305,,"Ministry of Finance",
"1.3.3",,,"planning",305,,"Ministry of Finance",
"1.3.4",,,"Treasury/Accounts",305,,"Ministry of Finance",
"1.3.5",,,"debt and aid management",305,,"Ministry of Finance",
"1.3.6",,,"tax policy",305,,"Ministry of Finance",
"1.3.7",,,"tax collection",305,305020,"Ministry of Finance","Inland Revenue Department"
"1.3.8",,,"local government finance",305,,"Ministry of Finance",
"1.3.9",,,"other central transfers to institutions ",305,,"Ministry of Finance",
"1.3.10",,,"national audit",208,208011,"Office of the Auditor General","Office of the Auditor General("
"1.3.11",,,"national monitoring and evaluation",305,305012,"Ministry of Finance","Financial Comptroller General Office"
"1.3.12",,,"monetary institutions",305,,"Ministry of Finance",
"1.3.13",,,"financial sector policy and regulation",305,,"Ministry of Finance",
"1.4.1",,"External Affairs","foreign affairs ",326,,"Ministry of Foreign Affairs",
"1.4.2",,,"diplomatic missions",326,326012,"Ministry of Foreign Affairs","Nepalese Embassies and Consulates"
"1.4.3",,,"official development assistance",305,,"Ministry of Finance",
"1.5.1",,"General Personnel Services","general personnel services",210,210011,"Public Service Commission","Public Service Commission"
"1.6.1",,"Statistics","statistics",391,391013,"National Planning Commission Secreterate","Central Bureau of Statistics"
"1.7.1",,"Other General Services","support to civil society ",,,,
"1.7.2",,,"central procurement",301,301020,"Prime Minister and Council of Minister's Office","Public Procurement Monitoring Office"
"1.7.3",,,"Local Government Administration",365,,"Ministry of Federal Affairs and Local Development",
"1.7.4",,,"other general services",,,,
"1.8.1",,"Elections","elections",212,,"Election Commission",
"2.1.1","Justice, Law, Order and Security","Justice, Law and Order","policy, planning and administration",314,,"Ministry of Home",
"2.1.2",,,"police",314,,"Ministry of Home",
"2.1.3",,,"fire",314,,"Ministry of Home",
"2.1.4",,,"judicial affairs",311,,"Ministry of Law, Justice, Constituent Assembly and Parliamentary Affairs",
"2.1.5",,,"Ombudsman",,,,
